symbol,event_date,entry_date,exit_date,entry_price,exit_price,exit_reason,volume_z,short_mom_bps,realized_vol_21d_pct,regime,atr_14_pct,gross_bps,net_s0_bps,net_s1_bps,net_s2_bps
WIPRO,2021-07-15,2021-07-14,2021-07-22,259.47711181640625,269.8710021972656,time_stop,0.6682215452171667,540.4252635776246,31.255578821534115,NEUTRAL,0.01888403887799171,400.57060555744204,390.57060555744204,380.57060555744204,370.57060555744204
MPHASIS,2021-07-22,2021-07-20,2021-07-28,2120.89599609375,2317.1806640625,time_stop,0.8683646211609942,779.2162639517209,36.129962496457075,NEUTRAL,0.03670497517061528,925.4799307946527,915.4799307946527,905.4799307946527,895.4799307946527
KPITTECH,2021-07-26,2021-07-23,2021-07-30,277.49078369140625,274.3264465332031,time_stop,1.3851410073495822,1020.519265239121,32.909072190695085,RISK-ON,0.03895990968337312,-114.03395515009795,-124.03395515009795,-134.03395515009794,-144.03395515009794
TECHM,2021-10-25,2021-10-22,2021-10-29,1307.822998046875,1273.693603515625,time_stop,1.9433785097586542,587.9757369301527,34.73985112803971,NEUTRAL,0.03561426749432225,-260.96340699176767,-270.96340699176767,-280.96340699176767,-290.96340699176767
PNB,2021-10-27,2021-10-26,2021-10-28,42.54205322265625,38.77762243263446,atr_stop,0.8552896745280799,377.82197317736416,40.182702821768565,NEUTRAL,0.04424364252378168,-884.8728504756332,-894.8728504756332,-904.8728504756332,-914.8728504756332
RBLBANK,2021-10-28,2021-10-27,2021-10-29,204.73179626464844,190.2941807518514,atr_stop,1.9056757555131476,972.5682328521256,35.240707115638045,NEUTRAL,0.035259827189065736,-705.1965437813146,-715.1965437813146,-725.1965437813146,-735.1965437813146
INDIANB,2021-10-28,2021-10-27,2021-10-29,168.0740966796875,150.03288465046356,atr_stop,1.9768899276429972,1476.180501456682,53.77338092543087,NEUTRAL,0.05367041199574775,-1073.4082399149559,-1083.4082399149559,-1093.4082399149559,-1103.4082399149559
BANDHANBNK,2021-11-09,2021-11-08,2021-11-15,288.6907958984375,305.3967590332031,time_stop,1.3816075268733692,138.00441449823484,51.7644814708294,RISK-ON,0.05195795248136551,578.6801440196543,568.6801440196543,558.6801440196543,548.6801440196543
BANKBARODA,2022-02-05,2022-02-04,2022-02-11,94.45825958251952,100.6638641357422,time_stop,1.5207355940844192,309.77019832828273,43.22476491984199,NEUTRAL,0.04377554222621887,656.9679116098271,646.9679116098271,636.9679116098271,626.9679116098271
UNIONBANK,2022-02-07,2022-02-04,2022-02-11,41.45529556274414,39.987083435058594,time_stop,2.773016750861166,199.9022672598061,49.060497848323216,NEUTRAL,0.046577386587248595,-354.1675696084112,-364.1675696084112,-374.1675696084112,-384.1675696084112
INDIANB,2022-02-07,2022-02-04,2022-02-11,149.4435577392578,136.0282962598496,atr_stop,5.149753410031905,1153.3720444570113,51.766966358931086,NEUTRAL,0.04488404077884219,-897.6808155768434,-907.6808155768434,-917.6808155768434,-927.6808155768434
POLICYBZR,2022-05-27,2022-05-26,2022-06-02,669.4000244140625,657.2999877929688,time_stop,0.5811725575812827,811.8868498169999,91.00011464878109,NEUTRAL,0.08348094979755029,-180.75942903774344,-190.75942903774344,-200.75942903774344,-210.75942903774344
INDUSINDBK,2022-07-20,2022-07-19,2022-07-26,842.4614868164062,933.199951171875,time_stop,1.2464841452815032,245.47309365622212,33.39419626301326,NEUTRAL,0.03060051121773527,1077.063649501202,1067.063649501202,1057.063649501202,1047.063649501202
PERSISTENT,2022-07-21,2022-07-20,2022-07-27,1711.7628173828125,1647.862060546875,time_stop,1.7942655067325444,573.6832572641391,47.910001623194795,RISK-ON,0.04034838781184115,-373.3038022968516,-383.3038022968516,-393.3038022968516,-403.3038022968516
MPHASIS,2022-07-21,2022-07-20,2022-07-27,2108.84033203125,2072.950927734375,time_stop,0.7788011578281097,496.5362888155883,30.82945456577931,RISK-ON,0.03338929696038404,-170.18549840758234,-180.18549840758234,-190.18549840758234,-200.18549840758234
CANBK,2022-07-25,2022-07-22,2022-07-29,41.416595458984375,40.196067810058594,time_stop,1.1469170834712723,1055.7880910830122,41.98242961056372,RISK-ON,0.035379047120126926,-294.6953112393058,-304.6953112393058,-314.6953112393058,-324.6953112393058
KPITTECH,2022-07-25,2022-07-22,2022-07-29,522.956298828125,536.91943359375,time_stop,1.7424008034368133,840.0084493854962,30.405374929122324,RISK-ON,0.02874141217109451,267.0038547564024,257.0038547564024,247.0038547564024,237.0038547564024
BANKINDIA,2022-08-02,2022-08-01,2022-08-08,45.13909530639648,44.67990112304688,time_stop,0.6336004979710295,184.810640844323,29.080719335710942,RISK-ON,0.028774894672054862,-101.72870772722887,-111.72870772722887,-121.72870772722887,-131.72870772722888
POLICYBZR,2022-08-10,2022-08-08,2022-08-17,557.4500122070312,571.7999877929688,time_stop,1.3626808844039715,1003.9979614705233,59.97228645677454,NEUTRAL,0.05227247732999512,257.4217467342721,247.42174673427212,237.42174673427212,227.42174673427212
CANBK,2022-10-20,2022-10-19,2022-10-27,45.02393341064453,52.36518859863281,time_stop,0.8970651681174,969.177828498331,49.99860052215851,NEUTRAL,0.03537006825498567,1630.5228423806861,1620.5228423806861,1610.5228423806861,1600.5228423806861
INDIANB,2022-11-03,2022-11-02,2022-11-10,226.24264526367188,246.86485290527344,time_stop,0.7640906207630975,477.1762568320772,42.408422425002996,NEUTRAL,0.04415928767738,911.5084213043767,901.5084213043767,891.5084213043767,881.5084213043767
BANKINDIA,2022-11-03,2022-11-02,2022-11-10,56.022071838378906,67.68567657470703,time_stop,2.4091284673521156,775.1857659326269,39.65835581965924,NEUTRAL,0.037002347026678734,2081.965974049851,2071.965974049851,2061.965974049851,2051.965974049851
ETERNAL,2023-02-09,2023-02-08,2023-02-15,54.29999923706055,50.25,time_stop,0.6328627831465636,1202.0304295519304,59.37698353947749,NEUTRAL,0.057616416538371844,-745.8562235662724,-755.8562235662724,-765.8562235662724,-775.8562235662724
POLICYBZR,2023-02-10,2023-02-09,2023-02-16,510.2999877929688,500.0,time_stop,1.846076996797,1926.03502873223,53.52770305353349,NEUTRAL,0.05435877843226224,-201.84181930938183,-211.84181930938183,-221.84181930938183,-231.84181930938183
COFORGE,2023-04-27,2023-04-26,2023-05-04,760.3167724609375,791.4046020507812,time_stop,0.7683623822783289,106.42826270969832,38.63628363496292,RISK-ON,0.037396019849584766,408.8799657703324,398.8799657703324,388.8799657703324,378.8799657703324
MPHASIS,2023-07-20,2023-07-19,2023-07-26,2082.30126953125,2163.53759765625,time_stop,4.006400228841775,1306.7812522653487,30.136072417917358,RISK-ON,0.02576231974803223,390.12764057569484,380.12764057569484,370.12764057569484,360.12764057569484
RBLBANK,2023-07-22,2023-07-21,2023-07-28,217.85626220703125,230.1450958251953,time_stop,1.3407079070855035,461.76235293497376,47.15065888545379,RISK-ON,0.04169350698234708,564.0798888987564,554.0798888987564,544.0798888987564,534.0798888987564
CANBK,2023-07-24,2023-07-21,2023-07-28,63.566287994384766,64.52500915527344,time_stop,0.7274657145710929,347.5330742236747,29.285666657755243,RISK-ON,0.026425294371232713,150.82226619452132,140.82226619452132,130.82226619452132,120.82226619452132
NAUKRI,2023-08-11,2023-08-10,2023-08-14,919.0255737304688,868.7635963130708,atr_stop,1.8770297723560732,243.60906934984584,32.90563935343938,NEUTRAL,0.027345255047352295,-546.905100947046,-556.905100947046,-566.905100947046,-576.905100947046
OFSS,2024-01-17,2024-01-16,2024-01-24,4544.49755859375,6107.26171875,time_stop,1.9680697356309242,1219.5288155785784,50.25666477537618,NEUTRAL,0.034277098900452906,3438.8051484394055,3428.8051484394055,3418.8051484394055,3408.8051484394055
PNB,2024-01-25,2024-01-24,2024-02-01,98.16246795654295,114.15470123291016,time_stop,0.912605545206094,394.16371289721627,32.70386709349468,RISK-ON,0.03256918378160632,1629.1596583988755,1619.1596583988755,1609.1596583988755,1599.1596583988755
BANKBARODA,2024-01-31,2024-01-30,2024-02-06,223.30572509765625,235.39028930664065,time_stop,1.1622049073971465,290.55671612616607,32.50155842288981,NEUTRAL,0.030036400458305912,541.1667884331916,531.1667884331916,521.1667884331916,511.16678843319164
